"Story","Title","Result","Date","Stability","Duration (s)"
"First serenity test","Get all the products information","SUCCESS","2021-07-21T14:50:50.301+01:00[Europe/London]","0.0","2.45"
"First serenity test","Get products by id","SUCCESS","2021-07-21T14:50:52.772+01:00[Europe/London]","0.0","0.04"
